,store_id,name,unit,unit_value
0,0,salg cheetos onda 140g,un,12.75
1,0,ovos bco jumbo 10un,un,10.99
2,0,ovo ferrero rocher 225,un,109.9
3,1,aveia flocos finos kg == ajust 250124,kg,11.98
4,1,power one pasta de amendoim 1kg <<,un,16.98
5,2,queijo mussarela sertao kg - kg,kg,43.9
6,2,presunto suino levissimo seara kg - kg,kg,31.8
7,2,ovos luna grande fil c/12 - 1x12und,un,8.99
8,2,banana ana kg - kg,un,4.28
9,2,maca nacional cat1 kg - kg,kg,16.99
10,2,pao frances kg - kg,kg,12.5
11,2,agua mineral solara s/gas 5l - un,un,8.99
12,3,agua mineral indaia s gas pet 5l,un,11.99
13,3,suco natural one laranja integral refr g,un,15.97
14,3,f banana ana kg,kg,4.19
